"","nj","nyc","app_date_d","pre","post","storeid","chain_id","center","crimbox","crime","drugcrime","propertycrime","ged","empgap","white","black","remover","noncomplier_store","balanced","response","response_date_d","daystoresponse","interview","cogroup_comb","cogroup_njnyc","post_cogroup_njnyc","white_cogroup_njnyc","ged_cogroup_njnyc","empgap_cogroup_njnyc","box_white","pre_white","post_white","white_nj","post_remover_ged","post_ged","remover_ged","post_remover_empgap","post_empgap","remover_empgap","post_remover_white","post_remover","remover_white","raerror","retail","num_stores","avg_salesvolume","avg_num_employees","retail_white","retail_post","retail_post_white","percblack","percwhite","tot_crime_rate","nocrimbox","nocrime_box","nocrime_pre","response_white","response_black","response_ged","response_hsd","response_empgap","response_noempgap"
"1607",1,0,2015-05-12,0,1,514,74,124,0,0,0,0,1,1,0,1,1,0,1,0,NA,NA,0,74,23,23,0,23,23,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,501,4841.37724550898,15.9161676646707,0,1,0,0.153374239802361,0.660122692584991,34.4528884887695,1,0,0,NA,0,0,NA,0,NA
"1608",1,0,2015-02-26,1,0,514,74,124,1,1,1,0,0,1,0,1,1,0,1,0,NA,NA,0,74,23,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,501,4841.37724550898,15.9161676646707,0,0,0,0.153374239802361,0.660122692584991,34.4528884887695,0,0,0,NA,0,NA,0,0,NA
"1609",1,0,2015-02-14,1,0,515,74,122,1,0,0,0,0,1,1,0,1,0,1,0,NA,NA,0,74,23,0,23,0,23,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,501,4841.37724550898,15.9161676646707,1,0,0,0.0142700327560306,0.870472013950348,8.02310657501221,0,1,1,0,NA,NA,0,0,NA
"1610",1,0,2015-05-07,0,1,515,74,122,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,0,74,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,501,4841.37724550898,15.9161676646707,0,1,0,0.0142700327560306,0.870472013950348,8.02310657501221,1,0,0,NA,0,NA,0,NA,0
"1611",1,0,2015-02-20,1,0,515,74,122,1,1,0,1,1,0,0,1,1,0,1,0,NA,NA,0,74,23,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,501,4841.37724550898,15.9161676646707,0,0,0,0.0142700327560306,0.870472013950348,8.02310657501221,0,0,0,NA,0,0,NA,NA,0
"1612",1,0,2015-05-15,0,1,515,74,122,0,1,0,1,1,1,1,0,1,0,1,0,NA,NA,0,74,23,23,23,23,23,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,501,4841.37724550898,15.9161676646707,1,1,1,0.0142700327560306,0.870472013950348,8.02310657501221,1,0,0,0,NA,0,NA,0,NA
"1613",1,0,2015-05-06,0,1,516,74,134,0,1,1,0,1,0,1,0,1,0,1,0,NA,NA,0,74,23,23,23,23,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,501,4841.37724550898,15.9161676646707,1,1,1,0.488113313913345,0.194739505648613,10.1443557739258,1,0,0,0,NA,0,NA,NA,0
"1614",1,0,2015-02-08,1,0,516,74,134,1,1,0,1,0,1,1,0,1,0,1,0,NA,NA,0,74,23,0,23,0,23,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,501,4841.37724550898,15.9161676646707,1,0,0,0.488113313913345,0.194739505648613,10.1443557739258,0,0,0,0,NA,NA,0,0,NA
"1615",1,0,2015-06-01,0,1,516,74,134,0,0,0,0,0,1,0,1,1,0,1,0,NA,NA,0,74,23,23,0,0,23,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,501,4841.37724550898,15.9161676646707,0,1,0,0.488113313913345,0.194739505648613,10.1443557739258,1,0,0,NA,0,NA,0,0,NA
"1616",1,0,2015-02-22,1,0,516,74,134,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,0,74,23,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,501,4841.37724550898,15.9161676646707,0,0,0,0.488113313913345,0.194739505648613,10.1443557739258,0,1,1,NA,0,0,NA,NA,0
"1617",1,0,2015-05-13,0,1,517,74,129,0,1,1,0,0,1,0,1,1,0,1,0,NA,NA,0,74,23,23,0,0,23,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,501,4841.37724550898,15.9161676646707,0,1,0,0.0152473039925098,0.422089993953705,NA,1,0,0,NA,0,NA,0,0,NA
"1618",1,0,2015-02-14,1,0,517,74,129,1,1,0,1,1,0,1,0,1,0,1,1,20189,NA,0,74,23,0,23,23,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,501,4841.37724550898,15.9161676646707,1,0,0,0.0152473039925098,0.422089993953705,NA,0,0,0,1,NA,1,NA,NA,1
